-24.6 -17.5 -2.0,-18.5 -8.3 -8.1,-26.8 3.9 10.7,52.4 4.6 7.5,4.5 -0.9 -0.4,-8.5 -8.5 -55.4,25.3 54.9 13.3,4.9 9.8 -3.8,7.1 2.8 49.7,24.7 -52.9 -12.4
-26.319942054780856 -20.39327825100441 3.8874925907644675,-22.834623603987925 -12.563763523917224 -1.8935876967483258,-23.117471811668302 1.9100840674758295 17.7750806279878,45.408980634918464 7.714782539817649 5.226837416814159,1.9139639043638876 -2.489260024586115 -3.978302760473223,-4.951175339353017 -21.294538140662223 -49.94725317155412,24.420834933652987 51.72132217340884 11.953086157532328,2.8514811736514 8.608973319661807 -6.257304310214146,10.428414109836849 4.005354549768267 46.631396257590694,24.17113541403408 -51.00109127303368 -11.692777840065194
-27.87486646626997 -19.206712505834936 2.944646033506313,-22.98722775735681 -12.409048068862882 -2.0445384685900425,-22.953207112691068 1.5460486562585525 16.531506989657473,43.02016760788929 7.6634305890390415 5.499768789305325,2.369134392373522 -2.3165832183197272 -3.9085428715207726,-3.0221220845087577 -26.103223054799624 -50.39194596281738,24.13681933600605 50.72776890194632 11.551220462033006,3.2757381556836727 8.86800248902851 -5.979120366819158,9.935021234264216 2.4060231344052023 45.600328820639724,24.158454572134673 -50.89621125605212 -11.676287643354078
-28.53379376049702 -18.448270791605605 2.5010273581408917,-23.002661046610367 -11.68085754432413 -2.347958478307852,-22.673243882093992 1.443514572868023 14.769073951197855,41.39201951160858 7.163671223281832 5.268370774381836,3.081088800467006 -2.3175269717960827 -3.9183759195876315,-2.653490607439311 -24.12540675276138 -50.05890643718984,24.034799047806597 50.37661324402039 11.412053004334076,3.95948523789212 8.933631127587772 -5.54482710618448,9.218129734230033 -0.4596176383556011 44.685209646401525,23.6825748401432 -49.348875096702045 -11.056100112375072
-28.23311608932987 -18.219206241958247 2.4782621262637132,-22.820797339172017 -10.7251094748845 -2.6798014318997403,-22.492714293285733 1.6265831122180763 12.98288092438224,40.73114421075569 6.330301872791008 4.67241052986033,3.7609936771809975 -2.4337757116821956 -3.9453142822699374,-3.4813277522035597 -17.924008627554567 -49.15544349256553,24.093026072976485 50.58396685995628 11.50069297932086,4.613182827145669 8.858853076298914 -5.049678398571523,8.741227230424897 -3.056599112966233 44.06963798793765,23.019598151967024 -47.24806293223011 -10.196518919668277
-27.23585013551173 -18.336487272559996 2.4564952239509,-22.303470502994568 -9.995578655589124 -2.9509998955185104,-22.667125765569352 2.055354315591526 11.754569026921477,40.860971498932955 5.416504279133191 4.097275524514958,4.038552434215121 -2.5072584801963766 -3.7922201174816066,-4.454711136932772 -12.992566218223818 -48.32366923672815,24.250857220615476 51.13139903072704 11.729437441147935,4.852178320874844 8.795791689130983 -4.596809784657459,9.165712623348611 -3.215302629088892 44.00001897351724,22.675451547146633 -46.20267867867494 -9.76217095904188
-25.807952217361816 -18.620474023242664 2.0549972581635947,-21.328679758840728 -9.885498915793436 -3.088646692819409,-23.381332648967675 2.687911897715449 11.579335257243097,41.538256437014375 4.658485833421887 3.8946160849568385,3.602141651547507 -2.396090849517109 -3.2842917316364084,-4.634735222837684 -14.182912563190742 -48.13256381649118,24.442884868176336 51.78673017492896 12.004884702311857,4.351636034071232 8.88123002923427 -4.273468514236237,11.033268059494587 0.8807942980601926 44.68010337521581,23.077616885826213 -47.56923788254854 -10.314247784558376
-24.22690746727917 -18.934404543305586 1.256235303001279,-19.92166372853962 -10.24492646452129 -3.161972853181035,-24.19010991229983 3.4672727414187796 12.17981212957664,41.94399915337235 4.135321123716838 4.105091606430738,2.6655256461339762 -2.1067875432418957 -2.4513722795060877,-4.109321122364017 -20.509506291086044 -48.481340085929176,24.563074278568074 52.20153948477348 12.185320303920887,3.3228892854694845 9.111105077768567 -4.025264698031937,13.812156533227556 7.87996149071715 45.931534054817085,23.945731306336036 -50.427719738939054 -11.480720763222662
-22.77624243391618 -19.16398608810626 0.23300138919213542,-18.18481853724857 -10.639277470529008 -3.3146937423873637,-24.318053566849677 4.328558294450542 12.873787080482298,40.9574883268696 3.8437428194964025 4.606393666816411,1.7177863861217082 -1.7236285294379812 -1.4305444553736124,-3.5044754073269218 -27.92786099144746 -48.9182343823399,24.484100987201966 51.96649254682909 12.103712563621471,2.2582387258575745 9.407546587928671 -3.7235866830965407,16.408139825222072 14.770217075006608 47.37571880016053,24.62850180817392 -52.665135665020266 -12.400528169217447
-21.715400028591063 -19.188984825119835 -0.8336294969332013,-16.24943711360606 -10.651278061704366 -3.6748639255161906,-23.10382838350925 5.197803405349577 13.034807145593785,37.66489315584275 3.7703267952035784 5.271262734888998,1.2179512777371386 -1.3367101323171862 -0.3629766743417573,-3.4049220383134746 -32.62009128982075 -49.03765525107235,24.10072419127889 50.743441935475445 11.621727648027985,1.6210421448955457 9.688953933028655 -3.2528550216310896,17.78960673259401 18.734780353304984 48.64440681576967,24.536720729092412 -52.369830407941 -12.293948993662386
-21.04782082271738 -18.82405695988811 -1.692492879290011,-14.546100106777423 -10.073813233365629 -4.197483398397664,-21.12676176131377 5.905404477127135 12.665605182306603,33.37477903035964 3.801607380323358 5.935135277408411,1.2805856649535177 -1.0905612993776257 0.5768363729921919,-3.907311896645656 -33.45718915481063 -48.95648292628695,23.54391611819754 48.954956258165026 10.907772740321878,1.5414590559254024 9.841048991546451 -2.64264063106493,17.6416831144174 19.182178057538994 49.497718545884084,23.774293862661033 -49.87688632591236 -11.289626175169008
