-24.6 -17.5 -2.0,-18.5 -8.3 -8.1,-26.8 3.9 10.7,52.4 4.6 7.5,4.5 -0.9 -0.4,-8.5 -8.5 -55.4,25.3 54.9 13.3,4.9 9.8 -3.8,7.1 2.8 49.7,24.7 -52.9 -12.4
-14.369872713204396 1.203282539266117 -7.425930117960168,-4.002143283631669 2.5144135419371283 -7.011869148783783,-14.639053718079456 5.540782725915465 4.068544097435507,22.22300839561229 0.3286028565192654 7.038222693893702,8.220824904057093 -2.1921903806657284 6.70144011194665,-4.222766691284395 0.9838357466197581 -50.030326053001936,23.533552284538057 48.995274099393484 10.820028924021203,7.0372164079968185 8.912681628666224 5.1068313563666745,10.96844293287983 43.23121873815479 48.869217109794526,26.875940192674424 -61.29097726360993 -16.149285720382657
-14.442278130606722 0.46250914052781716 -7.8787260206437315,-5.243085645756568 2.8873798071058974 -7.196028699294148,-17.053644735215414 4.932178772080548 5.126546357126241,24.52877728650917 0.9197986833121008 8.63742289717306,7.609977835324341 -2.075685529052856 5.712074788360822,-4.387530169865729 -7.670340643892343 -51.15491933947586,22.892934036733912 47.0326275183117 10.06857860102139,6.579651159349076 9.09708857074164 4.322424940046267,11.827113635801608 35.95366862449135 45.46368952298361,26.85881267241312 -61.21773884983614 -16.103963282353188
-14.634492259738265 -0.652608297657724 -8.602496693324492,-6.6653050526891295 3.2003990152711026 -7.540926509648143,-19.9376100879305 4.378457263083254 6.598933693831403,27.86709355758327 1.818402388759492 10.215097468069722,7.018796546226707 -1.8172920943849404 4.6268761702688606,-4.866934927209685 -16.236705863726304 -52.48198468515022,22.19639793987757 44.90897722730808 9.267645725185025,6.1642113637773335 9.413771167087056 3.453986406478749,12.939784934348873 28.64819801879852 42.157819085480625,27.07561537831758 -62.21220835813271 -16.54009151037762
-14.347353914742996 -2.703671167040035 -9.35314134100901,-7.414399285164829 2.7180282821619715 -8.044284750499687,-22.578353431985963 4.323518691838746 7.762106480263763,32.2782696832265 2.53796932145406 10.439029790221587,6.458218483616569 -1.35593960200137 3.8619491993404855,-6.136440745175222 -20.823507054710127 -54.02689144957569,21.670778133188797 43.311356390597396 8.666502084925687,5.769954708751176 9.835546382893742 2.52723350942063,13.852879057608904 26.42501921068068 41.15438121988929,27.429932676381746 -63.83742195038951 -17.261081253321716
-13.28524094016364 -5.894805808335924 -9.888650852238438,-7.0140555362831885 1.0528760186391435 -8.675029681323519,-24.49112934608812 5.00228911527671 8.138275562544466,37.61663910765514 2.734662390366196 8.563381840843979,5.9532806700894 -0.7058456311548887 3.672767724301249,-8.401779054601105 -19.22515142254708 -55.70575305437548,21.479641221600204 42.73349247170286 8.444053369848756,5.397138535337015 10.30252303712965 1.5908026091635077,14.26898518917469 32.16636359757534 43.68709647523621,27.79233935900589 -65.51953298981873 -18.01050519693245
-12.11776314107726 -9.293393993047667 -9.973667516516315,-6.190257732694024 -1.0756716511229434 -9.310518665935936,-25.91574171245445 5.9851711375014816 8.031311149862958,43.14513553423879 2.5181261371566275 5.706956723371051,5.573855749937586 -0.12063827706429674 3.804010443211537,-11.010964818282732 -14.59791209868659 -57.11905628352253,21.58536766907943 43.054414915853634 8.555446211561138,5.113433535619165 10.650800431228463 0.7662095618895418,14.387292028919571 41.66964596617223 47.908161636505284,27.928442184020447 -66.24941753128252 -18.341655035988218
-11.705954957347185 -11.741379162235955 -9.374155188887634,-5.907429771988063 -2.7287321170195624 -9.809949109283876,-27.2356873267801 6.71077867070874 7.900103253938434,48.00940514602861 2.0879413002673517 3.358354780125946,5.398707759512539 0.09857529455852161 3.899054349195322,-13.14190997658685 -11.161431544957441 -57.80469448224092,21.91043780727557 44.0312435856864 8.911450392535507,4.99987956468169 10.695851610542869 0.1894231470247839,14.50547474441145 49.327213748017634 51.35864316118954,27.583032328016348 -64.93163456458171 -17.770089088235142
-12.631855953696153 -12.451198961545886 -8.01164022541891,-6.826734228343793 -3.253922538244887 -10.05697739728679,-28.652006177342255 6.776770942257757 8.057819768600378,51.44754898029926 1.6276860665196369 2.591016414667342,5.468001282914329 -0.2301017526568072 3.6913632242729424,-14.166595702868376 -11.906228773979313 -57.49298264574969,22.375853410881632 45.42096968669544 9.42405285106668,5.102603716152588 10.340385322980179 -0.05829753109680056,14.83768898751628 51.08293364857577 52.27385237027549,26.63754816098018 -61.04805816867308 -16.065780154089918
-14.444092041216866 -12.007623662501151 -6.3838617619542495,-8.486035650933987 -3.060072303092877 -10.025857439844245,-29.689907358074976 6.369920510543501 8.277865173790381,53.04012636733477 1.2616642173197354 2.940604861911492,5.67892623146783 -0.8470040868394841 3.2480876882974377,-14.17584718157183 -15.270076251434443 -56.626977034707124,22.897139591460842 46.980107870648 10.009748943192124,5.338414133423064 9.810236560463952 -0.09834126695066071,15.288729143777632 48.6275922790231 51.460624956067335,25.47957740533418 -56.21897193731075 -13.941067448192683
-16.45207094879196 -11.313095859801235 -5.1219426701345405,-10.163173660212804 -2.8016638928784854 -9.71181497640646,-29.718156279922184 5.8133699341743466 8.208697639479956,52.44697007264884 1.1004584888127293 3.5868133561513726,5.895576242606795 -1.390252031603 2.7136213494386396,-13.426890105806796 -18.63686085789028 -55.814721733674865,23.388553703571386 48.46506247499919 10.586077649148834,5.594183760080942 9.406038700294603 -0.09900649454680614,15.691777578212811 44.982293232823075 50.32106200479413,24.613872993763753 -52.55966592671772 -12.326432436153908
-18.016390020399808 -11.052511380974424 -4.676844294355114,-11.23139037376638 -2.9557620579890105 -9.135463921915541,-28.344128057503085 5.388193495202103 7.604587080151965,49.58509199514315 1.1874808211881687 3.8647049742303827,6.016055033034887 -1.5969981688214745 2.228131090902542,-12.2193752577649 -20.02718658024548 -55.51751486753561,23.764251484158216 49.626271836686065 11.063239720006935,5.779397478163973 9.339094569038501 -0.16540645198464968,15.894336344814603 42.56998509592134 49.897441073172836,24.403836466767935 -51.60289634790339 -11.89726004260654
-18.71878383413385 -10.970972107199376 -4.721236879253186,-11.476063149971226 -3.232993547139736 -8.427094165571384,-26.20598285441828 5.1937320849446555 6.676906212769452,45.48250832869592 1.275967813345314 3.780534736558089,6.085388597494371 -1.6322107542899889 1.9135245011901467,-11.036228227216448 -20.212251633243163 -55.562717470996475,23.93794968585493 50.18840139220785 11.31973502965216,5.901222903159775 9.434802335171286 -0.12969668009309535,15.805768021580453 41.22960905965327 49.67761544774202,24.602236605682048 -52.364894857665924 -12.2269276189946
-18.200688284016692 -10.559859936568857 -4.717672264858728,-10.793835169598864 -3.137066733399955 -7.746605264141652,-24.220166054351576 5.280263294192942 5.760433651688459,41.46717760244381 1.0408162504720468 3.5217620746072047,6.188268133981566 -1.7763571763238115 1.8867796329592923,-10.409854047015543 -20.70584331051502 -55.606544011560544,23.82324654692025 49.86915856360904 11.22550503759199,5.9931994542635305 9.414375921564703 0.24965877682713522,15.35213592305236 40.10249135943662 48.72978419076083,24.79698718939273 -53.18249677298906 -12.59129906297145
-16.32941375334982 -9.473020228438834 -4.245957987178633,-9.216074368210831 -2.3336612377716177 -7.238314844459953,-23.15065804966393 5.653205530660473 5.155036539481486,38.69188622129286 0.27245262100157347 3.263280017725998,6.388302637407871 -2.234424240338462 2.2080352312351503,-10.717008253938843 -22.613369705759446 -55.387152632909654,23.382230742655143 48.53676141811787 10.713322575257989,6.0872505053034285 9.070361979789345 1.1084010575589849,14.521526300423869 38.52441939271065 46.418958467709786,24.66641733787156 -52.74852258585039 -12.419546932250672
-14.111180519418419 -8.183498968173453 -3.4771501276397245,-7.4534551858477585 -1.3051717593786998 -6.967970286342543,-22.992651409980418 6.091790059567849 4.984540088596008,37.42613612527041 -0.6561613029093574 3.1166044352314954,6.642796336560801 -2.830798031892742 2.650832693675203,-11.549619535280257 -24.98103227385589 -55.05589508520819,22.821491639381655 46.81834017505313 10.03277234259739,6.207148855002976 8.554992491130955 2.0488220689262064,13.61475895422526 36.81175641592235 43.60678196196724,24.34476549501281 -51.55081091840358 -11.913887107059486
-12.910364845909111 -7.421958314126926 -2.768236251021357,-6.43027536362599 -0.7908275335616741 -6.97661077761353,-23.49957597862102 6.304118481217667 5.317409143231769,37.66166046824897 -1.1888723480478158 3.173320814426999,6.875623521150693 -3.2701761282925697 2.898586397187769,-12.252810017151258 -26.20746834821429 -54.894061197555736,22.42450737805715 45.579682151946436 9.533067700148825,6.374104169320063 8.13361062744335 2.505458536349112,13.030999825831852 35.5892299519805 41.62554831663144,24.10964110752819 -50.641684459906884 -11.519636432124972
-13.774151198619 -7.765416876847478 -2.4154408594958605,-6.8681346816955235 -1.3631253659744014 -7.2672858546969215,-24.410783030508767 6.067604676611288 6.144993665265574,39.27371903412799 -0.9030696381008948 3.472399136550905,7.0176776804045105 -3.317013758097472 2.6986233954496313,-12.29487010654277 -25.0770452758874 -55.10759365185512,22.423412820888544 45.53128323663268 9.501598697333604,6.593910811111851 8.023492598413299 2.0467669014093697,13.094803333607757 35.38543237726886 41.550405159032145,24.177548052434002 -50.84877317448236 -11.588538100360964
-15.878268834030326 -8.884203818706014 -2.3562293397435834,-8.292732697650074 -2.6106807307433657 -7.61904879668395,-25.383113832144065 5.568594784790716 7.003966652122875,41.45125101099142 -0.16412152929393403 3.7425447575399846,7.041320998933844 -3.0884531240933932 2.175398948805753,-11.871024116434866 -22.650422539794327 -55.45778479705139,22.747372952619816 46.46727205599729 9.860929060147447,6.78145469025805 8.158189319096866 1.0313754973688085,13.690480011799334 36.161321466630085 42.938931419357175,24.40430271461255 -51.673334313211335 -11.91994796142359
-17.71474714130121 -10.11740689574027 -2.3970013930668244,-9.792870015036819 -3.7626671380731733 -7.72912019404084,-26.043266218578573 5.142830414791225 7.264893689882327,43.13246166715567 0.37473069093404326 3.5991138694833857,6.934065445000711 -2.830483775390865 1.5911447942059613,-11.442067564827346 -20.81985881023345 -55.54348260611108,23.214868588802194 47.847000229379496 10.400340292451714,6.818410076343714 8.367598170482093 0.10658663419788308,14.54150582930328 37.67048070145297 44.794291734720794,24.5139512985592 -52.13206057900183 -12.111417861636701
-17.995551228501622 -10.867752046647015 -2.363354806699817,-10.55801176450528 -4.1500155425487595 -7.354422464825924,-26.078296712862013 5.078219614552729 6.437764447532907,43.40656537784994 0.16562387346077573 2.754059703812286,6.702027062525047 -2.759542400268355 1.1866400836579254,-11.406635071731278 -21.16689031251735 -55.05216623362863,23.649248925789227 49.14315355426107 10.913574929307918,6.619496689973398 8.496515012675983 -0.16652827800217362,15.372321965669748 39.59195365095498 46.18901471563266,24.283290326850725 -51.42394605647263 -11.83459082135684
-16.9621543466686 -10.981890130465798 -2.215126855832519,-10.47894534896653 -3.811753500189495 -6.666004706637395,-25.593407510611545 5.330012366764559 4.999439857044113,42.41071073552989 -0.6068753073047669 1.5891941553964275,6.47995523565572 -2.8861671410143073 1.0527489659055154,-11.730333987957732 -23.113555763925454 -54.28653090205537,23.908695898728112 49.92414553625786 11.226619248132131,6.328533292548238 8.493930730760244 0.17321239271500172,15.91569479290132 41.09089461186644 46.68147155555803,23.855630916089986 -50.01493156561726 -11.276073794463828
-15.503086555552272 -10.494273976160937 -1.9689446896279785,-9.74315181984575 -3.086468088349455 -6.010111872615739,-24.870696893753312 5.712728010030571 3.8358147196965255,40.72537379936494 -1.4483465116432162 0.7697121210506146,6.457017547624327 -3.133790976927622 1.216914205480878,-12.195579934229436 -25.168320735757508 -53.80953834328671,23.866127396220172 49.798887187073014 11.179100207578232,6.1862587533476345 8.352915805374078 0.8332075395654568,15.90791264689785 41.11505756551791 46.03556864089956,23.5293377957996 -48.906938408240045 -10.840328684456441
-14.439575560634164 -9.488095050371923 -1.6627738587154872,-8.572080268706822 -2.3027813291385164 -5.708339010146975,-24.20209897928526 6.0517943247567345 3.728088386157128,38.97666914427451 -1.9038947734731897 0.8696997901086907,6.778933522458919 -3.4167937859214477 1.6857334249314386,-12.603086818226826 -25.98094210437101 -54.10098123337545,23.432446178067437 48.4920707980761 10.657063356865441,6.388144629018518 8.083784898976655 1.5244607717481218,15.158227584213995 38.87093306371015 44.15526732567893,23.563770659401456 -48.97393655237187 -10.879936767574852
-14.024302532587814 -8.439111154397963 -1.5071928877284833,-7.455935999382787 -1.6991862093733048 -5.875851251630139,-23.954713383182998 6.2658363977305 4.590472371830531,38.15049995027891 -1.8504737782430198 1.7108863168758928,7.234993865361249 -3.5781614499609855 2.297413303116423,-12.908358199134215 -25.38177090897379 -54.953813140814745,22.828347290583842 46.67279221071179 9.925256689820207,6.7571351432343505 7.836399181371144 1.9948235749142336,14.07168355849533 35.68445935253821 42.08235811547789,23.895208907131032 -50.02927163990418 -11.317410842765836
-14.23232361688609 -8.014772821584751 -1.797068355705778,-7.016159747876391 -1.4701651131094238 -6.527012639594285,-24.532343530645054 6.318988175522521 5.913822310276504,39.408456547777206 -1.3270810980547263 2.7476199500991614,7.440442736965983 -3.4260176916089145 2.807934109757207,-13.142482444535286 -23.777650110097106 -55.82559956492328,22.42579939813283 45.47130575273575 9.433351103304858,6.934266964397594 7.828761302866173 2.0101404959727303,13.344253638803051 33.916514975005214 41.41424099995107,24.30216969981801 -51.36837945443978 -11.865258433177699
-15.003168835503931 -8.77442996777776 -2.766953821045456,-7.767929680865358 -1.769451406315133 -7.640772587856171,-26.236077919906744 6.187707132745545 7.200714531877835,43.63737251657042 -0.40243104468583407 3.4711302027246282,7.068485750188738 -2.8100919084639466 2.9995695034519834,-13.331656378724972 -21.608682755793414 -56.22276885502965,22.54661796238186 45.86492618941811 9.570836880675431,6.612567767621348 8.241039679488244 1.390179610225514,13.585633662705586 35.62533137261339 43.49687186156399,24.57842838908672 -52.331514844222745 -12.254378263597665
-15.949965433334047 -10.2161650101904 -4.060774041552106,-9.186957995412772 -2.358365284806623 -8.859145829458061,-28.368163222495284 5.965011582852761 8.095232449020306,49.04714427532247 0.577124586959874 3.7545584390366273,6.366040089982997 -1.986017278983367 2.9150641853836197,-13.449659978853093 -19.59976290535091 -56.14779260049141,23.016149909962582 47.31702287233286 10.131250445389842,6.001374173657097 8.881899729335817 0.47663606589884966,14.549441608875625 39.86520590380579 47.20047126018511,24.676140662359252 -52.72773511820399 -12.407873777294018
-16.502409513712912 -11.241651504228114 -4.990533452239842,-10.164800003889525 -2.7776994219135034 -9.634797258948712,-29.66951909506079 5.809424452708989 8.320983324413866,52.343288764890524 1.1092078770666336 3.6856720368939633,5.902436155808672 -1.4375359289515584 2.7435418217386975,-13.440816113295583 -18.63583086755026 -55.881907720401124,23.380737831384224 48.44016131501534 10.57321533256256,5.600177011320141 9.351230402333112 -0.09548351744052469,15.508198633458914 44.00229141140355 50.00395126108462,24.636468452822903 -52.62955419958413 -12.356863218262585
-16.165093005908453 -10.865791251311588 -4.930002487841551,-9.71113251575617 -2.622217181055277 -9.47505061670545,-29.01084645386744 5.857233620798483 7.662394471474434,50.5857198442006 0.7608796631272243 3.367777533157124,6.184509153952781 -1.5987523676948687 2.657420538979534,-13.253043969587315 -19.472850615660274 -55.695347420624756,23.232090809136764 47.98662790312119 10.409720029230737,5.854374076914322 9.286156108581839 0.2317578182490508,15.775427703490399 45.54026806310996 49.62282652620016,24.50423187895161 -52.12979738412816 -12.140996361356136
-15.336987574225839 -9.496873939907912 -4.013895211170533,-8.284320216725876 -2.1426031367599814 -8.547119711040871,-26.844127163593154 5.977775455892606 6.600644677749639,45.148716326941816 -0.07340109164745065 3.0570752536263384,6.950902959963787 -2.297241674203631 2.6159912707468984,-12.879878446454082 -21.34674388988848 -55.69438525290672,22.725375783913478 46.44296433981593 9.829046377806854,6.543017711191902 8.78365613118912 1.082440061529951,15.203498704915111 43.79983088853249 46.7029987716301,24.355269871720953 -51.52334744514194 -11.885136825678616
-14.994084066865264 -8.442149185610917 -2.8678570579952103,-7.2773651320296615 -2.012716838464395 -7.443953877967761,-24.64152434595708 5.868159546302798 6.066429810872107,40.190018287941044 -0.4653701816476883 3.108406678256521,7.444654139236253 -2.9692696175739717 2.4410435359579816,-12.344283933712623 -22.512760022015787 -55.879514346977516,22.37928089524849 45.414586726658584 9.455149353203621,7.015259961000894 8.237390316491382 1.4781548335585506,13.992424697168486 39.27394257012009 43.78094200647995,24.285433499204398 -51.23544681886099 -11.769124904044421
-16.033204568181944 -8.924010728428389 -2.097577420919405,-7.9842674613861755 -2.8557692650462427 -6.728651541000974,-23.774378385291623 5.25449083310196 6.910933449102446,39.57455084791127 0.4425670635037576 3.8457212094528073,6.9588081740530034 -3.0822964765247196 1.9706967731169578,-11.659952505144103 -21.38283952144417 -56.23210483776947,22.680324811230957 46.40797479784467 9.873615480374518,6.661466099778149 8.023559569537603 0.5188700666756667,12.352914657996736 32.561458053868165 43.26808912816812,24.38289576691267 -51.65515408425338 -11.957046272587842
-18.10036722404534 -10.75833786206262 -1.912337347693554,-10.084849371467289 -4.482079160338525 -6.44381280750451,-23.954113269663967 4.311796149796836 8.759632943712763,42.38854245054759 2.387084133476494 5.134603276738866,5.607298391067072 -2.6351260820788247 1.3054096233080759,-10.70303886951973 -18.806631163619127 -56.48896125133463,23.576472089950286 49.27309389618888 11.02720550048114,5.5535486347838745 8.202745084668555 -1.4498262368392238,10.564734509031775 25.477784604709107 45.370404600995016,24.62296316145036 -52.631165385491464 -12.378128868045549
-19.916969828182165 -12.721285073935462 -2.2283845719465396,-12.06569896930182 -6.101058378217482 -6.247274576507848,-23.665108175705427 3.5469547533597154 10.331938045489588,44.18570931413811 4.27624620856362 6.501804364205999,4.110875528020041 -2.019342498294822 0.7395673362606298,-9.248027247570574 -17.435788503487515 -56.20610011614436,24.617576861862606 52.635379386016744 12.38348993159091,4.267233999625991 8.602215385006877 -3.1615577462839948,8.958698504748654 20.737630328358314 48.66352463674667,24.89750888523967 -53.612729687719295 -12.787988889116214
-20.25928987366862 -13.620802508074497 -2.9465311980600015,-12.472761672860328 -6.946105967912077 -5.801582515971656,-21.47172416335602 3.4409079835500993 10.39790545625399,40.72012566352099 5.054757452140551 7.4819528029821125,3.1743351202483345 -1.6206474902521506 0.5517414905416945,-7.0959842706609555 -19.79084939560245 -54.972055965611716,25.363072181235683 55.14672862530409 13.419622334438781,3.3686162361556966 9.046495175271662 -3.4010947662014868,7.861545546551803 20.89801251373042 51.7269856459279,25.10561642824431 -54.09240605951764 -12.96234769635821
-19.229306140459787 -13.23752865589771 -3.819254829961233,-11.364269294335523 -6.909947978308471 -5.00702274206106,-17.821485653218655 3.890716227990511 8.972463885126325,32.64949039613931 4.638175598104351 7.8836322582497536,2.9798344478478906 -1.5634260029682143 0.6679348115534042,-4.549572636602887 -25.390302944749596 -53.011863549508995,25.699885399581447 56.41438961694639 13.971613465084014,3.052457449158102 9.407311475492607 -2.2127086027105864,7.508718818661089 25.42016916341113 53.86971643132217,25.30509905020975 -54.47490572286116 -13.095563181037498
-18.050331520126928 -12.174842874126414 -4.473565489298484,-10.077609317833762 -6.442997067442784 -3.964972278011328,-14.754776132231079 4.299568717026777 7.123507336046255,24.779195159210445 3.7632473139265117 7.747149381489555,3.2674612919730532 -1.7510301838197668 0.7159324053441343,-2.33572617059353 -31.2133786946307 -51.08893636983494,25.791952369870202 56.85368626849877 14.179010644194298,3.1994315156358004 9.596317016588426 -0.7060096776573423,8.058439733742834 31.146797474336122 55.01759667168386,25.68803035078385 -55.93647669666974 -13.736093684421329
-17.928591073113385 -11.055928100744632 -4.549386610665473,-9.938163608645377 -6.003886536546892 -2.787001456907066,-14.27348026806643 4.082443027030403 5.922179602032667,21.85914321116495 3.1707881585683206 7.127000113971402,3.763391292122628 -2.0786873051407735 0.33225401692663875,-1.1693617652884907 -34.25973036621572 -49.95444135036966,25.8047568487532 56.88740169220463 14.184958787800088,3.6749883544325805 9.532619698135814 0.012220121383724462,9.642950030194022 34.919024116226915 55.1279017297732,26.437297300710803 -59.59853555999213 -15.406657064679473
-18.93444293506355 -10.371474013853115 -4.052162478330725,-11.137846186436432 -5.848678774866398 -1.6683093982695036,-16.45767949196202 3.246963255154599 5.791197367122923,24.60504930044587 3.1291718351994753 6.226999086670039,4.1940910909042275 -2.416438045058754 -0.4536875361912455,-1.2153116111996147 -33.70520063215166 -49.72658264887052,25.748216072098916 56.54830552781074 14.003347310773657,4.229066095061609 9.26964141030321 -0.3761946930097484,11.884169385686945 35.33161240834174 54.4171346093601,27.445031480509858 -64.867444403069 -17.830369955338682
-20.039740679462668 -10.484035166513326 -3.3408350550017594,-12.77238667436074 -6.037528476722999 -0.8849731848942424,-19.52886636641893 2.3739059450345406 6.526179085894128,29.83113726482839 3.4498703425634587 5.3953680422343595,4.2863087619942375 -2.6099649566101886 -1.232509896801451,-2.1064172741572205 -30.83023917436237 -49.911421863986554,25.4817978445369 55.49198275593943 13.523061761243309,4.499890636674806 8.990700009243733 -1.4267630410754282,13.910481571849491 32.67527949853242 53.35249911381509,28.32217297224105 -69.49092455534905 -19.95704925383746
-20.203049437934602 -11.73106488681793 -2.779963940229591,-13.914636107697874 -6.617557875317643 -0.7045282925531979,-21.672669601295034 2.0501726923916546 7.893396565555933,34.25615161248741 3.9287623847681217 4.975822545696543,3.778796108704048 -2.5100708798372486 -1.59158287294158,-3.4544578342620227 -26.983495697707056 -50.00171667319022,24.86592794348102 53.378772066311456 12.635299568610444,4.135253896620432 8.879051407589346 -2.6698479073923616,14.856642213805031 27.331625996687396 52.40161075767358,28.681148941662684 -71.22409210758286 -20.740044064836564
-19.26129299200313 -13.898818030794232 -2.4886846684318926,-14.246999047751142 -7.4965996047737855 -1.0656171987326537,-22.189457305781076 2.3819416530193487 9.556584996728615,36.378355940858256 4.447678607033621 5.023059929529106,2.743144485034659 -2.137325039436841 -1.4595278381573558,-4.89062027549678 -23.017045091255 -49.815968313920614,23.958431345469585 50.42918181834599 11.437345263111393,3.1752802712418537 8.968756417917406 -3.8037807997360065,14.59458564545245 20.27920780368471 51.758881697078344,28.49490752291388 -69.91042058957767 -20.108695495483893
-18.022497897426526 -16.164151043652335 -2.314794875160019,-14.125795113452636 -8.428489391344046 -1.5432622320220075,-21.612040080940464 2.943908921019197 11.066116318196823,36.663428780423104 4.983477088390339 5.272242439398025,1.6189286548236805 -1.6999883360844188 -1.14224979838607,-6.067548727287109 -19.233955091605885 -49.53281619133289,23.035375210826814 47.48303723063828 10.254330798557756,2.0938522337430334 9.128927542019287 -4.7125972078243565,13.811262127590211 13.156567420682412 51.31667373630778,28.13498450291557 -67.70224643457097 -19.071389689204807
-17.32978334950312 -17.686339720607602 -2.0948885448349106,-13.935979138793758 -9.16266518177692 -1.7026214240751214,-20.533500847707522 3.2916733924285695 11.974449863222254,35.679360510040205 5.515533484876471 5.445361408696218,0.8578065768838892 -1.4128144569366519 -0.9593636784279879,-6.647355065126829 -15.912109273158638 -49.34707459916415,22.380454459148602 45.40118616172144 9.418984236505187,1.3794838374281513 9.222347100886799 -5.291085372119002,13.22403809488583 7.622294766677811 50.95380202949802,27.986038359835977 -66.82715948702759 -18.67151802614879
-17.4710500687763 -18.13570620793455 -1.7694887067922713,-13.83400437876681 -9.579352377075004 -1.4367054717709826,-19.418508661446147 3.288691912175641 12.125310197941394,34.012371448286764 5.935334181679632 5.387633565389589,0.6565686171323424 -1.3726337669505801 -1.017561411309345,-6.59818757005544 -13.447561882251556 -49.363390538878434,22.14310790572723 44.640676201399195 9.110416239802907,1.2344954017376115 9.192575741257931 -5.475872147858387,13.119604286733908 4.818397416363158 50.625413862199046,28.157929122219755 -67.89307410778358 -19.1894986232604
-18.032138412687598 -17.828778430533465 -1.4105341597042036,-13.687389355793732 -9.724153958054531 -1.0530868556062112,-18.56935634331898 3.1877002725029175 11.730719746809003,32.27173323259985 6.023231701892222 5.100091175274371,0.8897312205935811 -1.527165435822356 -1.1542989450982213,-6.275170172823299 -12.385791128261133 -49.57239664672782,22.303010761757292 45.14795924395234 9.313491977646196,1.4993221759103306 9.085316353478772 -5.256488309039873,13.240072418684626 5.233677035937426 50.383176658128804,28.413040810347123 -69.45986409374116 -19.94098831781122
-18.556304591701267 -17.11991139592886 -1.096740641246807,-13.347922453964014 -9.650469212118377 -0.8798922183977625,-18.27330453956148 3.2621238843746636 11.022872457233419,31.061282966109832 5.555958094661926 4.594203857153391,1.4106294695929498 -1.815266486183934 -1.1920661535299089,-6.05490503115237 -13.2661625227689 -49.95523078704614,22.827284126123676 46.83121976961223 9.998267488653038,1.9913094209696953 8.951722127284535 -4.627928210508222,13.297145325120646 9.288001569028056 50.283669740128026,28.49471672096441 -69.97563459229897 -20.1890788433091
-18.710140602991878 -16.181129374049206 -0.8237215456543785,-12.808383695700725 -9.270331998712612 -0.9416722235435683,-18.585661135618857 3.570130724445875 10.060310111506402,30.63742592142733 4.486589104245445 3.9036305637394952,2.0471208237688105 -2.211152712967213 -1.0692347585878494,-6.145794507630472 -15.83910663719576 -50.38344559172626,23.599449192933385 49.321641016489004 11.016800803442374,2.5341110896962475 8.787550002059719 -3.6892003334561254,13.230020084859671 16.042859208682337 50.31914412670037,28.309652136222173 -68.87432766179418 -19.665540107697975
-18.338795885681527 -14.920490182247546 -0.4667801587929411,-12.265671526378737 -8.29111660629396 -0.823480193340806,-19.22592806211943 3.858253210418062 8.650172305912891,30.75357841261816 3.023499281045607 3.094154506301587,2.590177915936475 -2.740230016593153 -0.8919426022376189,-6.512732361573773 -18.712885913699946 -50.56994339900525,24.381996711340335 51.849382038806894 12.050320195713578,2.9605144439630076 8.508357868559633 -2.689897971663672,13.307244984730916 22.593165266497127 50.38872054729386,28.001032601387678 -67.01711521565892 -18.7806634615302
-17.30642859139865 -13.228541283933124 0.10502313944241291,-11.9310963464149 -6.4110917177457125 -0.0821818623041366,-19.889049002975487 3.851159467778073 6.5855788205233905,31.1246907259017 1.396036279465861 2.2353353065982375,2.830561743125548 -3.430266422232317 -0.7786658665649729,-7.099383816907539 -20.42189226605562 -50.21948548246637,24.92999053906586 53.61985727597282 12.769446220561576,3.1063872438923603 8.025477978160412 -1.8896009401378537,13.81916477802743 25.910584548087613 50.38565299639045,27.729734831997124 -65.372060279943 -17.995550344216092
-15.843501751826963 -11.224954430092188 0.7917366958316372,-11.902218960152839 -3.831477259385765 1.2735284499611073,-20.395370085828212 3.4572981173784934 4.07121199412259,31.531206297202015 -0.0942455358093055 1.4885793625461008,2.7536907907603054 -4.189386272449798 -0.7902678529027323,-7.691476129368241 -20.629874504086704 -49.34794918054946,25.14733464693631 54.32173706903953 13.04578933373389,2.979737878019138 7.399490981410328 -1.4169913132275778,14.766518577938964 25.197918875383895 50.30667130821575,27.597144034384776 -64.55721974063792 -17.604383382430818
-14.788653045974224 -9.409815585055574 1.1100609238609778,-12.087742135251972 -1.5885412602241509 2.484787083089088,-20.773442655177575 2.8902478617055913 1.9950699705153543,31.86230659841408 -1.0259072641509395 1.1677859372657045,2.6681726574855023 -4.727069942899419 -0.891957408217875,-7.812512726039569 -20.875648545252332 -48.487756691791226,25.18505169904153 54.44603975809906 13.084662785018363,2.874379188149631 6.938774097979236 -1.1834221271094625,15.669214316792235 23.362318666010395 50.32030587376952,27.605871880603264 -64.60953657458079 -17.62421051097316
-15.031959998965407 -8.31750207302143 0.5448029801437516,-12.378962986633704 -0.7916842484375942 2.726815564870457,-21.070862007636237 2.391571832164991 1.3050419657415622,32.01851402715539 -0.968833211225716 1.5985645148421497,2.910639159679562 -4.736016427918542 -1.04002706970682,-6.965796773902846 -22.860871788566207 -48.21674480970993,25.216539359853513 54.55639268820178 13.121576880153235,3.108753231609941 6.972917144145556 -1.080673372616613,16.0048787426981 23.64042798837886 50.61029934621268,27.749094526095238 -65.51028379314644 -18.045547467444347
